MEL code,Library code,bit sequence
374,2284,1010001110111000
375,2287,1010001110111110
376,2289,1010001111001010
377,2290,1010001111001100
378,2292,1010001111011000
379,2295,1010001111011110
380,2296,1010001111101000
381,2299,1010001111101110
382,2301,1010001111111010
383,2302,1010001111111100
384,2304,1010010000001000
385,2307,1010010000001110
386,2309,1010010000011010
387,2310,1010010000011100
388,2313,1010010000101010
389,2314,1010010000101100
390,2316,1010010000111000
391,2319,1010010000111110
392,2321,1010010001001010
393,2322,1010010001001100
394,2324,1010010001011000
395,2327,1010010001011110
396,2328,1010010001101000
397,2331,1010010001101110
398,2333,1010010001111010
399,2334,1010010001111100
400,2337,1010010010001010
401,2338,1010010010001100
402,2340,1010010010011000
403,2343,1010010010011110
404,2344,1010010010101000
405,2347,1010010010101110
406,2349,1010010010111010
407,2350,1010010010111100
408,2352,1010010011001000
409,2355,1010010011001110
410,2357,1010010011011010
411,2358,1010010011011100
412,2361,1010010011101010
413,2362,1010010011101100
414,2364,1010010011111000
415,2367,1010010011111110
416,2369,1010010100001010
417,2370,1010010100001100
418,2372,1010010100011000
419,2375,1010010100011110
420,2376,1010010100101000
421,2379,1010010100101110
422,2381,1010010100111010
423,2382,1010010100111100
424,2384,1010010101001000
425,2387,1010010101001110
426,2389,1010010101011010
427,2390,1010010101011100
428,2393,1010010101101010
429,2394,1010010101101100
430,2396,1010010101111000
431,2399,1010010101111110
432,2400,1010010110001000
433,2403,1010010110001110
434,2405,1010010110011010
435,2406,1010010110011100
436,2409,1010010110101010
437,2410,1010010110101100
438,2412,1010010110111000
439,2415,1010010110111110
440,2417,1010010111001010
441,2418,1010010111001100
442,2420,1010010111011000
443,2423,1010010111011110
444,2424,1010010111101000
445,2427,1010010111101110
446,2429,1010010111111010
447,2430,1010010111111100
448,2433,1010011000001010
449,2434,1010011000001100
450,2436,1010011000011000
451,2439,1010011000011110
452,2440,1010011000101000
453,2443,1010011000101110
454,2445,1010011000111010
455,2446,1010011000111100
456,2448,1010011001001000
457,2451,1010011001001110
458,2453,1010011001011010
459,2454,1010011001011100
460,2457,1010011001101010
461,2458,1010011001101100
462,2460,1010011001111000
463,2463,1010011001111110
464,2464,1010011010001000
465,2467,1010011010001110
466,2469,1010011010011010
467,2470,1010011010011100
468,2473,1010011010101010
469,2474,1010011010101100
470,2476,1010011010111000
471,2479,1010011010111110
472,2481,1010011011001010
473,2482,1010011011001100
474,2484,1010011011011000
475,2487,1010011011011110
476,2488,1010011011101000
477,2491,1010011011101110
478,2493,1010011011111010
479,2494,1010011011111100
480,2496,1010011100001000
481,2499,1010011100001110
482,2501,1010011100011010
483,2502,1010011100011100
484,2505,1010011100101010
485,2506,1010011100101100
486,2508,1010011100111000
487,2511,1010011100111110
488,2513,1010011101001010
489,2514,1010011101001100
